,CommonName,SciName,Family,About,Audios
751,Marshall's iora,Aegithina nigrolutea,Aegithinidae,"Marshall's iora, also known as the white-tailed iora, is a songbird in the genus Aegithina found in parts of India and Sri Lanka.",https://xeno-canto.org/99924/download
752,,,,,
753,,,,,
754,,,,,
755,,,,,
756,Mistle thrush,Turdus viscivorus,Turdidae,"The mistle thrush is a bird common to much of Europe, temperate Asia and North Africa. It is a year-round resident in a large part of its range, but northern and eastern populations migrate south for the winter, often in small flocks. It is a large thrush with pale grey-brown upper parts, a greyish-white chin and throat, and black spots on its pale yellow and off-white under parts. The sexes are similar in plumage, and its three subspecies show only minimal differences. The male has a loud, far-carrying song which is delivered even in wet and windy weather, earning the bird the old name of stormcock.",https://xeno-canto.org/138670/download
757,Mongolian finch,Bucanetes mongolicus,Fringillidae,"The Mongolian finch, also known as the Mongolian trumpeter finch, is a small passerine bird in the finch family Fringillidae.",https://xeno-canto.org/824416/download
758,Mongolian short-toed lark,Calandrella dukhunensis,Alaudidae,The Mongolian short-toed lark or Sykes's short-toed lark is a species of lark in the family Alaudidae. It breeds in China and Mongolia and winters in southern Asia.,https://xeno-canto.org/295142/download
759,,,,,
760,Mottled wood owl,Strix ocellata,Strigidae,"The mottled wood owl is a species of large owl found in India. They are found in gardens and thin deciduous forests adjacent to dry thorn forests or farmland. They are easily detected by their distinctive tremulous eerie calls at dawn and dusk. The characteristic call is a duet of the male and female while other notes include a low hoot and a screech. Their large size, lack of ""ear"" tufts and the concentric barring on the face make them easy to identify.",https://xeno-canto.org/97304/download
761,Mount Victoria babax,Pterorhinus woodi,Family,The Mount Victoria babax is a species of passerine bird in the family Leiothrichidae.,https://xeno-canto.org/748584/download
762,Mountain bamboo partridge,Bambusicola fytchii,Phasianidae,"The mountain bamboo partridge is a species of bird in the family Phasianidae. It is found in Bangladesh, Tibet, India, Laos, Myanmar, Thailand, and Vietnam.",https://xeno-canto.org/455212/download
763,Mountain bulbul,Hypsipetes mcclellandi,Pycnonotidae,"The mountain bulbul is a songbird species in the bulbul family, Pycnonotidae. It is often placed in Hypsipetes, but seems to be closer to the type species of the genus Ixos, the Sunda bulbul. It is found in Southeast Asia and is not considered a threatened species by the IUCN. It is named after British East India Company Surgeon John McClelland.",https://xeno-canto.org/107097/download
764,Mountain chiffchaff,Phylloscopus sindianus,Phylloscopidae,"The mountain chiffchaff or eastern chiffchaff is a species of leaf warbler found in the Caucasus and Himalayas, and is an altitudinal migrant, moving to lower levels in winter. The nominate subspecies is similar to the Siberian chiffchaff, but with a finer darker bill, browner upperparts and buff flanks; its song is almost identical to the common chiffchaff, but the call is a weak psew. P. s. lorenzii is warmer and darker brown than the nominate race; it is sympatric with common chiffchaff in a small area in the Western Caucasus, but interbreeding occurs rarely, if ever. The mountain chiffchaff differs from tristis in vocalisations, external morphology and mtDNA sequences. Its two subspecies appear to be distinct vocally, and also show some difference in mtDNA sequences.",https://xeno-canto.org/547447/download
765,Mountain hawk-eagle,Nisaetus nipalensis,Accipitridae,"The mountain hawk-eagle or Hodgson's hawk-eagle, is a large bird of prey native to Asia. The latter name is in reference to the naturalist, Brian Houghton Hodgson, who described the species after collecting one himself in the Himalayas. A less widely recognized common English name is the feather-toed eagle. Like all eagles, it is in the family Accipitridae. Its feathered tarsus marks this species as a member of the subfamily Aquilinae. It is a confirmed breeding species in the northern part of the Indian subcontinent, from India, Nepal through Bangladesh to Thailand, Taiwan and Japan, although its distribution could be wider still as breeding species. Like other Asian hawk-eagles, this species was earlier treated under the genera of Spizaetus but genetic studies have shown this group to be paraphyletic, resulting in the Old World members being placed in Nisaetus and separated from the New World species. As is typical of hawk-eagles, the mountain hawk-eagle is a forest dwelling opportunistic predator who readily varies its prey selection between birds, mammals and reptiles along with other vertebrates. Although classified currently as a least-concern species due its persistence over a rather wide distribution, this species is often quite rare and scarce and seems to be decreasing, especially in response to large-scale habitat degradation and deforestation.",https://xeno-canto.org/255673/download
766,Mountain imperial pigeon,Ducula badia,Columbidae,"The mountain imperial pigeon, also known as the maroon-backed imperial pigeon or Hodgson's imperial pigeon, is a species of bird in the pigeon and dove family with a wide range in south-eastern Asia.",https://xeno-canto.org/178249/download
767,Mountain scops owl,Otus spilocephalus,Strigidae,"The mountain scops owl, sometimes referred to as the spotted scops owl, is a species of owl in the family Strigidae. It is locally common in its main habitat which covers some parts of Asia, including Bangladesh Bhutan, India, Malaysia, Nepal, Taiwan, and Thailand. It has a short high-pitched call.Their call sounds like a two-note whistle, “plew-plew” or “he-he” and female's songs are rarely heard. There calls can also vary from different populations allowing one to determine the a birds origin.",https://xeno-canto.org/154487/download
768,Mountain tailorbird,Phyllergates cuculatus,Cettiidae,"The mountain tailorbird is a songbird species formerly placed in the ""Old World warbler"" assemblage, but is now placed in the genus Phyllergates of the family Cettiidae.",https://xeno-canto.org/550663/download
769,,,,,
770,Mrs. Gould's sunbird,Aethopyga gouldiae,Nectariniidae,"Mrs. Gould's sunbird is a sunbird bird species native to forests and shrublands from the southern foothills of the Himalayas to Southeast Asia. Because of its large range, it has been listed as Least Concern on the IUCN Red List since 2004.",https://xeno-canto.org/256236/download
771,,,,,
772,,,,,
773,,,,,
774,Naga wren-babbler,Spelaeornis chocolatinus,,The Naga wren-babbler or long-tailed wren-babbler is a bird species in the family Timaliidae.,https://xeno-canto.org/365592/download
775,,,,,
776,,,,,
777,Nepal cupwing,Pnoepyga immaculata,Pnoepygidae,"The Nepal cupwing, Nepal wren-babbler or immaculate cupwing is a species of bird in the family Pnoepygidae.",https://xeno-canto.org/348591/download
778,Nepal fulvetta,Alcippe nipalensis,Pellorneidae,"The Nepal fulvetta, Alcippe nipalensis, is a bird species in the family Alcippeidae.",https://xeno-canto.org/551318/download
779,Nepal house martin,Delichon nipalense,Hirundinidae,"The Nepal house martin is a non-migratory passerine of the swallow family Hirundinidae. Its two subspecies breed in the Himalayas from northwestern India through Nepal to Myanmar, northern Vietnam, and just into China. It occurs in river valleys and rugged wooded mountain ridges at heights between 1,000–4,000 m (3,300–13,100 ft) altitude, where it nests in colonies beneath overhangs on vertical cliffs, laying three or four white eggs in an enclosed mud nest.",https://xeno-canto.org/157709/download
780,,,,,
781,Nicobar imperial pigeon,Ducula nicobarica,Columbidae,The Nicobar imperial pigeon is a species of bird in the family Columbidae. It is endemic to the Nicobar Islands. Its natural habitats are subtropical or tropical moist lowland forests and subtropical or tropical mangrove forests.,https://xeno-canto.org/557091/download
782,,,,,
783,,,,,
784,,,,,
785,Nicobar scops owl,Otus alius,Family,The Nicobar scops owl is a species of owl in the family Strigidae.,https://xeno-canto.org/295561/download
786,,,,,
787,,,,,
788,Nilgiri blue robin,Sholicola major,Muscicapidae,"The Nilgiri blue robin, also known as Nilgiri shortwing, white-bellied shortwing, Nilgiri sholakili or rufous-bellied shortwing is a species of passerine bird in the family Muscicapidae endemic to the Shola forests of the higher hills of southern India, mainly north of the Palghat Gap. This small bird is found on the forest floor and undergrowth of dense forest patches sheltered in the valleys of montane grassland, a restricted and threatened habitat.",https://xeno-canto.org/369342/download
789,Nilgiri flycatcher,Eumyias albicaudatus,Muscicapidae,"The Nilgiri flycatcher is an Old World flycatcher with a very restricted range in the hills of southern India. It was formerly referred to as the Nilgiri verditer flycatcher because of its similarity to the verditer flycatcher, a winter migrant to the Nilgiris, which, however, has distinct dark lores and a lighter shade of blue. There are two small white patches at the base of the tail. It is found mainly in the higher altitude shola forests of the Western Ghats and the Nilgiris.",https://xeno-canto.org/369206/download
790,Nilgiri laughingthrush,Montecincla cachinnans,Leiothrichidae,"The Nilgiri laughingthrush is a species of laughingthrush endemic to the high elevation areas of the Nilgiris and adjoining hill ranges in Peninsular India. The mostly rufous underparts, olive brown upperparts, a prominent white eyebrow and a black throat make it unmistakable. It is easily detected by its loud series of nasal call notes and can be hard to spot when it is hidden away inside a patch of dense vegetation. The species has a confusing taxonomic history, leading to a range of names. In the past the species was considered to have two subspecies, the nominate form in the Nilgiris and jerdoni with a grey upper breast and found in the Brahmagiris of Coorg and Banasura range of Wayanad. They are omnivorous, feeding on a range of insects, berries and nectar.",https://xeno-canto.org/604265/download
791,Nilgiri pipit,Anthus nilghiriensis,Motacillidae,"The Nilgiri pipit is a distinctive species of pipit that is endemic to the high altitude hills of southern India. Richer brown in colour than other pipits in the region, it is distinctive in having the streaking on the breast continuing along the flanks. It is non-migratory and has a tendency to fly into low trees when disturbed and is closely related to the tree pipits Anthus hodgsoni and Anthus trivialis.",https://xeno-canto.org/116279/download
792,Nilgiri thrush,Zoothera neilgherriensis,Turdidae,The Nilgiri thrush is a member of the thrush family.,https://xeno-canto.org/668517/download
793,Nilgiri wood pigeon,Columba elphinstonii,Columbidae,"The Nilgiri wood pigeon is large pigeon found in the moist deciduous forests and sholas of the Western Ghats in southwestern India. They are mainly frugivorous and forage in the canopy of dense hill forests. They are best identified in the field by their large size, dark colours and the distinctive checkerboard pattern on their nape.",https://xeno-canto.org/178211/download
794,,,,,
795,Northern lapwing,Vanellus vanellus,Charadriidae,"The northern lapwing, also known as the peewit or pewit, tuit or tew-it, green plover, or pyewipe or just lapwing, is a bird in the lapwing family. It is common through temperate Eurosiberia.",https://xeno-canto.org/116788/download
796,Northern pintail,Anas acuta,Anatidae,"The pintail or northern pintail is a duck with wide geographic distribution that breeds in the northern areas of Europe and across the Palearctic and North America. It is migratory and winters south of its breeding range to the equator. Unusually for a bird with such a large range, it has no geographical subspecies if the possibly conspecific duck Eaton's pintail is considered to be a separate species.",https://xeno-canto.org/95807/download
797,Northern shoveler,Spatula clypeata,Anatidae,"The northern shoveler, known simply in Britain as the shoveler, is a common and widespread duck. It breeds in northern areas of Europe and across the Palearctic and across most of North America, wintering in southern Europe, Africa, the Indian subcontinent, Southeast Asia, Central, the Caribbean, and northern South America. It is a rare vagrant to Australia. In North America, it breeds along the southern edge of Hudson Bay and west of this body of water, and as far south as the Great Lakes west to Colorado, Nevada, and Oregon.",https://xeno-canto.org/95806/download
798,,,,,
799,Olive-backed pipit,Anthus hodgsoni,Motacillidae,"The olive-backed pipit is a small passerine bird of the pipit (Anthus) genus, which breeds across southern, north central and eastern Asia, as well as in the north-eastern European Russia. It is a long-distance migrant moving in winter to southern Asia and Indonesia. Sometimes it is also called Indian pipit or Hodgson's pipit, as well as tree pipit owing to its resemblance with the tree pipit. However, its back is more olive-toned and less streaked than that species, and its head pattern is different with a better-marked supercilium.",https://xeno-canto.org/550776/download
800,Olive-backed sunbird,Cinnyris jugularis,Nectariniidae,"The olive-backed sunbird, also known as the yellow-bellied sunbird, is a species of sunbird found from Southern Asia to Australia.",https://xeno-canto.org/496217/download
801,Orange bullfinch,Pyrrhula aurantiaca,Family,The orange bullfinch is a species of finch in the family Fringillidae.,https://xeno-canto.org/485261/download
802,Orange minivet,Pericrocotus flammeus,,"The orange minivet is a species of bird in the cuckooshrike family, Campephagidae.",https://xeno-canto.org/497292/download
803,Orange-bellied leafbird,Chloropsis hardwickii,Chloropseidae,"The orange-bellied leafbird is a bird native to the central and eastern Himalayas, Yunnan and northern parts of Southeast Asia. The scientific name commemorates the English naturalist Thomas Hardwicke.",https://xeno-canto.org/138663/download
804,Orange-breasted green pigeon,Treron bicinctus,Columbidae,"The orange-breasted green pigeon is a pigeon found across tropical Asia south of the Himalaya across parts of the Indian Subcontinent and Southeast Asia. Like other green pigeons, it feeds mainly on small fruit. They may be found in pairs or in small flocks, foraging quietly and moving slowly on trees. The nape is blue-grey and the crown is yellowish green. The uppertail coverts are bronzed and the undertail coverts are unmarked rufous. The male has a pinkish band on the upper breast with a broader orange one below while the female has a bright yellow breast.",https://xeno-canto.org/166060/download
805,,,,,
806,Oriental bay owl,Phodilus badius,Tytonidae,"The oriental bay owl is a type of bay owl, usually classified with barn owls. It is completely nocturnal, and can be found throughout Southeast Asia. It has several subspecies. It has a heart-shaped face with earlike extensions. The Congo bay owl was formerly classified as a subspecies of Oriental bay owl due to insufficient knowledge, but it has turned out that it might not even belong to the same genus. The Sri Lanka bay owl was also considered a subspecies. These birds prey upon small rodents, bats, birds, snakes, frogs, lizards, and large arthropods such as beetles, grasshoppers, and spiders.",https://xeno-canto.org/292611/download
807,Oriental darter,Anhinga melanogaster,Anhingidae,"The  Oriental darter is a water bird of tropical South Asia and Southeast Asia. It has a long and slender neck with a straight, pointed bill and, like the cormorant, it hunts for fish while its body is submerged in water. It spears a fish underwater, bringing it above the surface, tossing and juggling it before swallowing the fish head first. The body remains submerged as it swims, and the slender neck alone is visible above the water, which accounts for the colloquial name of snakebird. Like the cormorants, it has wettable feathers and it is often found perched on a rock or branch with its wings held open to dry.",https://xeno-canto.org/684289/download
808,Oriental dollarbird,Eurystomus orientalis,Coraciidae,"The Oriental dollarbird is a bird of the roller family, so named because of the distinctive pale blue or white, coin-shaped spots on its wings. It can be found from Australia to Korea, Japan and India.",https://xeno-canto.org/426543/download
809,Oriental dwarf kingfisher,Ceyx erithaca,Alcedinidae,"The Oriental dwarf kingfisher, also known as the black-backed kingfisher or three-toed kingfisher, is a species of bird in the family Alcedinidae. A widespread resident of lowland forest, it is endemic across much of the Indian subcontinent and Southeast Asia. It is found in Bangladesh, Bhutan, Brunei, Cambodia, India, Indonesia, Laos, Malaysia, Myanmar, Singapore, Sri Lanka, Thailand and Viet Nam.",https://xeno-canto.org/252746/download
810,Oriental hobby,Falco severus,Falconidae,"The Oriental hobby is a species of falcon typically 27–30 cm long. It can be found in the northern parts of the Indian Subcontinent, across the eastern Himalayas and ranges southwards through Indochina to Australasia. It has been recorded as a vagrant from Malaysia.",https://xeno-canto.org/35503/download
811,Oriental magpie-robin,Copsychus saularis,Muscicapidae,"The Oriental magpie-robin is a small passerine bird that was formerly classed as a member of the thrush family Turdidae, but now considered an Old World flycatcher. They are distinctive black and white birds with a long tail that is held upright as they forage on the ground or perch conspicuously. Occurring across most of the Indian subcontinent and parts of Southeast Asia, they are common birds in urban gardens as well as forests. They are particularly well known for their songs and were once popular as cagebirds.",https://xeno-canto.org/30800/download
812,Oriental pied hornbill,Anthracoceros albirostris,Bucerotidae,"The oriental pied hornbill is an Indo-Malayan pied hornbill, a large canopy-dwelling bird belonging to the family Bucerotidae. Two other common names for this species are Sunda pied hornbill (convexus) and Malaysian pied hornbill.",https://xeno-canto.org/467595/download
813,,,,,
814,Oriental pratincole,Glareola maldivarum,Glareolidae,"The oriental pratincole, also known as the grasshopper-bird or swallow-plover, is a wader in the pratincole family, Glareolidae.",https://xeno-canto.org/127902/download
815,Oriental reed warbler,Acrocephalus orientalis,Acrocephalidae,The Oriental reed warbler is a passerine bird of eastern Asia belonging to the reed warbler genus Acrocephalus. It was formerly classified as a subspecies of the great reed warbler of the western Palearctic.,https://xeno-canto.org/369026/download
816,Oriental skylark,Alauda gulgula,Alaudidae,"The Oriental skylark, also known as the small skylark, is a species of skylark found in the southern, central and eastern Palearctic. Like other skylarks, it is found in open grassland where it feeds on seeds and insects.",https://xeno-canto.org/442934/download
817,Oriental turtle dove,Streptopelia orientalis,Columbidae,"The oriental turtle dove or rufous turtle dove is a member of the bird family Columbidae. The species has a wide native distribution range from Europe, east across Asia to Japan. The populations show variations in the patterning of plumage and have been designated into at least six named subspecies. Populations in the higher latitudes tend to migrate south in winter while those closer to the tropics are sedentary. Vagrants have been recorded in North America. The species is predominantly granivorous and forages on the ground.",https://xeno-canto.org/104165/download
818,,,,,
819,Pacific golden plover,Pluvialis fulva,,"The Pacific golden plover is a medium-sized plover. The genus name is Latin and means relating to rain, from pluvia, ""rain"". It was believed that golden plovers flocked when rain was imminent. The species name fulva is Latin and refers to a tawny colour.",https://xeno-canto.org/349313/download
820,,,,,
821,,,,,
822,,,,,
823,Paddyfield pipit,Anthus rufulus,Motacillidae,"The paddyfield pipit or Oriental pipit is a small passerine bird in the pipit and wagtail family. It is a resident (non-migratory) breeder in open scrub, grassland and cultivation in southern Asia east to the Philippines. Although among the few breeding pipits in the Asian region, identification becomes difficult in winter when several other species migrate into the region. The taxonomy of the species is complex and has undergone considerable changes.",https://xeno-canto.org/441380/download
824,Paddyfield warbler,Acrocephalus agricola,Acrocephalidae,"The paddyfield warbler is a species of marsh warbler. It was formerly included in the ""Old World warbler"" assemblage. The Manchurian reed warbler was included in A. agricola as a subspecies.",https://xeno-canto.org/212196/download
825,Painted bush quail,Perdicula erythrorhyncha,Phasianidae,The painted bush quail is a species of quail found in the hill forests of India. They move in small coveys on hillsides and are distinguished by their red bills and legs. They have a liquid alarm call and small groups will run in single file along paths before taking flight when flushed.,https://xeno-canto.org/369416/download
826,Painted francolin,Francolinus pictus,Phasianidae,The painted francolin or painted partridge is a species of francolin found in grassy areas in central and southern India and in the lowlands of southeastern Sri Lanka. They are easily detected by their loud calls especially during the breeding season. Thomas C. Jerdon noted that the species was found mainly in Central India south of the Narmada and to the east of the Western Ghats as well as the Chota Nagpur and Northern Circars. It can be confused only with the black francolin with which it partly overlaps and is said to sometimes hybridize. This species can be told apart from the female of a black francolin by the lack of a rufous hind collar and the white spots on the underside. The face is rufous and there is no dark stripe running behind the eye.,https://xeno-canto.org/105864/download
827,Painted sandgrouse,Pterocles indicus,Pteroclidae,"The painted sandgrouse is a medium large bird in the sandgrouse family found in Bangladesh, India and Pakistan.",https://xeno-canto.org/308251/download
828,Painted spurfowl,Galloperdix lunulata,Phasianidae,"The painted spurfowl is a bird of the pheasant family found in rocky hill and scrub forests mainly in peninsular India. Males are more brightly coloured and spotted boldly in white. Males have two to four spurs while females can have one or two of the spurs on their tarsus. The species is found mainly in rocky and scrub forest habitats unlike the red spurfowl. They are found in the undergrowth in pairs or small groups, escaping by running and rarely taking to the wing when flushed.",https://xeno-canto.org/383471/download
829,Painted stork,Mycteria leucocephala,Ciconiidae,"The painted stork is a large wader in the stork family. It is found in the wetlands of the plains of tropical Asia south of the Himalayas in the Indian Subcontinent and extending into Southeast Asia. Their distinctive pink tertial feathers of the adults give them their name. They forage in flocks in shallow waters along rivers or lakes. They immerse their half open beaks in water and sweep them from side to side and snap up their prey of small fish that are sensed by touch. As they wade along they also stir the water with their feet to flush hiding fish. They nest colonially in trees, often along with other waterbirds. The only sounds they produce are weak moans or bill clattering at the nest. They are not migratory and only make short distance movements in some parts of their range in response to changes in weather or food availability or for breeding. Like other storks, they are often seen soaring on thermals.",https://xeno-canto.org/769894/download
830,Palani laughingthrush,Montecincla fairbanki,Leiothrichidae,"The Palani laughingthrush is a species of laughingthrush endemic to the hills of the Western Ghats south of the Palghat Gap in Southern India. Found in the high montane forests, this grey bibbed, rufous bellied bird with a prominent dark eyestripe and broad white brow was grouped along with the grey-breasted subspecies of the black-chinned laughingthrush and known as the grey-breasted laughingthrush. This species is found in the Palni Hills while another closely related form, the Ashambu laughingthrush with a shorter white brow is found in the high hills south of the Achankovil Gap and was treated as a subspecies. The two forms were together treated under the name of Kerala laughingthrush.",https://xeno-canto.org/44863/download
831,Pale blue flycatcher,Cyornis unicolor,Muscicapidae,The pale blue flycatcher is a bird in the family Muscicapidae. The species was first described by Edward Blyth in 1843.,https://xeno-canto.org/426503/download
832,Pale martin,Riparia diluta,Hirundinidae,The pale martin or pale sand martin is a small passerine bird in the swallow family.,https://xeno-canto.org/460117/download
833,Pale rockfinch,Carpospiza brachydactyla,Passeridae,"The pale rockfinch or pale rock sparrow is a small sparrow found in the Middle East and Central Asia. It is the only member of the genus Carpospiza. Some authorities include it in the genus Petronia. Others have placed it in the finch family due to some similarities in behaviour and form, but the anatomy of its tongue exhibits characteristic sparrow features.",https://xeno-canto.org/651857/download
834,,,,,
835,Pale-billed flowerpecker,Dicaeum erythrorhynchos,Dicaeidae,"The pale-billed flowerpecker or Tickell's flowerpecker is a tiny bird that feeds on nectar and berries, found in India, Sri Lanka, Bangladesh and western Myanmar. The bird is common especially in urban gardens with berry bearing trees. They have a rapid chipping call and the pinkish curved beak separates it from other species in the region.",https://xeno-canto.org/424194/download
836,Pale-billed parrotbill,Chleuasicus atrosuperciliaris,Sylviidae,"The pale-billed parrotbill, also known as the black-browed parrotbill or lesser rufous-headed parrotbill, is a species of parrotbill in the family Paradoxornithidae.",https://xeno-canto.org/157894/download
837,,,,,
838,Pale-chinned blue flycatcher,Cyornis poliogenys,,The pale-chinned blue flycatcher or Brook's flycatcher is a species of bird in the family Muscicapidae. It is a sparrow-sized bird.,https://xeno-canto.org/426499/download
839,Pale-footed bush warbler,Urosphena pallidipes,Cettiidae,"The pale-footed bush warbler is a species of oriental warbler in the family Cettiidae, found in southern Asia. The pale-footed bush warbler is found in the Himalayan region west from Deharadum through the foothills of Nepal to the Northeast India. This species is further found in Myanmar, Laos, northern Vietnam and southern China. A single sight was recorded from Kandy, Sri Lanka in March 1993.",https://xeno-canto.org/467867/download
840,Pale-headed woodpecker,Gecinulus grantia,,The pale-headed woodpecker is a species of bird in the family Picidae.,https://xeno-canto.org/157905/download
841,Pale-legged leaf warbler,Phylloscopus tenellipes,Phylloscopidae,The pale-legged leaf warbler is a species of Old World warbler in the family Phylloscopidae. The species was first described by Robert Swinhoe in 1860. It is found in Manchuria; it winters in Southeast Asia. Its natural habitat is temperate forests.,https://xeno-canto.org/768977/download
842,Pallas's grasshopper warbler,Helopsaltes certhiola,Family,"Pallas's grasshopper warbler is an Old World warbler in the grass warbler genus Helopsaltes. It breeds in the east Palearctic - Siberia to Manchuria and Sea of Japan, NE China, Altai Mountains, Sayan Mountains and Transbaikalia",https://xeno-canto.org/768271/download
843,,,,,
844,,,,,
845,Pallid harrier,Circus macrourus,Accipitridae,"The pale or pallid harrier is a migratory bird of prey of the harrier family. The scientific name is derived from the Ancient Greek. Circus is from kirkos, referring to a bird of prey named for its circling flight, probably the hen harrier and macrourus is ""long-tailed"", from makros, ""long"" and -ouros ""-tailed"".",https://xeno-canto.org/122881/download
846,Pallid scops owl,Otus brucei,Strigidae,"The pallid scops owl is a small scops owl ranging from the Middle East to West and Central Asia, sometimes called the striated scops owl.",https://xeno-canto.org/402845/download
847,,,,,
848,,,,,
849,,,,,
850,Peregrine falcon,Falco peregrinus,Falconidae,"The peregrine falcon, also known as the peregrine, and historically as the duck hawk in North America, is a widespread bird of prey (raptor) in the family Falconidae. A large, crow-sized falcon, it has a blue-grey back, barred white underparts, and a black head. The peregrine is renowned for its speed, reaching over 320 km/h (200 mph) during its characteristic hunting stoop, making it the fastest bird in the world, as well as the fastest member of the animal kingdom. According to a National Geographic TV program, the highest measured speed of a peregrine falcon is 389 km/h (242 mph). As is typical for bird-eating raptors, peregrine falcons are sexually dimorphic, with females being considerably larger than males. According to one study, it has the fastest visual processing speed of any animal tested so far, and can register discrete changes up to 129 Hz or cycles per second. Analogically, film is a series of still images projected onto a screen. Those still images need to be changing at roughly 24 frames per second before humans see them as fluid and no longer as individual, discrete pictures. The film would have to be refreshing at 129 frames per second before peregrine falcons stopped seeing flashing, still images and started seeing fluid motion.",https://xeno-canto.org/252127/download
851,,,,,
852,Pheasant-tailed jacana,Hydrophasianus chirurgus,Jacanidae,"The pheasant-tailed jacana is a jacana in the monotypic genus Hydrophasianus. Like all other jacanas they have elongated toes and nails that enable them to walk on floating vegetation in shallow lakes, their preferred habitat. They may also swim or wade in water reaching their body while foraging mainly for invertebrate prey. They are found in tropical Asia from Yemen in the west to the Philippines in the east and move seasonally in parts of their range. They are the only jacanas that migrate long distances and with different non-breeding and breeding plumages. The pheasant-tailed jacana forages by swimming or by walking on aquatic vegetation. Females are larger than the males and are polyandrous, laying several clutches that are raised by different males in their harem.",https://xeno-canto.org/419793/download
853,Pied avocet,Recurvirostra avosetta,Recurvirostridae,"The pied avocet is a large black and white wader in the avocet and stilt family, Recurvirostridae. They breed in temperate Europe and across the Palearctic to Central Asia then on to the Russian Far East. It is a migratory species and most winter in Africa or southern Asia. Some remain to winter in the mildest parts of their range, for example in southern Spain and southern England. The pied avocet is one of the species to which the Agreement on the Conservation of African-Eurasian Migratory Waterbirds (AEWA) applies.",https://xeno-canto.org/113067/download
854,Pied bush chat,Saxicola caprata,Muscicapidae,"The pied bush chat is a small passerine bird found ranging from West Asia and Central Asia to the Indian subcontinent and Southeast Asia. About sixteen subspecies are recognized through its wide range with many island forms. It is a familiar bird of countryside and open scrub or grassland where it is found perched at the top of short thorn trees or other shrubs, looking out for insect prey. They pick up insects mainly from the ground, and were, like other chats, placed in the thrush family Turdidae, but are now considered as Old World flycatchers.",https://xeno-canto.org/406641/download
855,,,,,
856,,,,,
857,,,,,
858,,,,,
859,Pied kingfisher,Ceryle rudis,Alcedinidae,"The pied kingfisher is a species of water kingfisher widely distributed across Africa and Asia. Originally described by Carl Linnaeus in 1758, it has five recognised subspecies. Its black and white plumage and crest, as well as its habit of hovering over clear lakes and rivers before diving for fish, make it distinctive. Males have a double band across the breast, while females have a single gorget that is often broken in the middle. They are usually found in pairs or small family groups. When perched, they often bob their head and flick up their tail.",https://xeno-canto.org/575149/download
860,,,,,
861,Pied thrush,Geokichla wardii,Turdidae,"The pied thrush is a member of the thrush family found in India and Sri Lanka. The males are conspicuously patterned in black and white while the females are olive brown and speckled. They breed in the central Himalayan forests and winter in the hill forests of southern India and Sri Lanka. Like many other thrushes, they forage on leaf litter below forest undergrowth and fly into trees when disturbed and sit still making them difficult to locate.",https://xeno-canto.org/649676/download
862,,,,,
863,,,,,
864,Pin-striped tit-babbler,Macronus gularis,Timaliidae,"The pin-striped tit-babbler, also known as the yellow-breasted babbler, is a species of Old World babbler found in South and Southeast Asia.",https://xeno-canto.org/426672/download
865,Pin-tailed green pigeon,Treron apicauda,Columbidae,The pin-tailed green pigeon is a species of bird in the family Columbidae.,https://xeno-canto.org/368756/download
866,,,,,
867,,,,,
868,Pink-browed rosefinch,Carpodacus rhodochroa,Fringillidae,"The pink-browed rosefinch is a finch in the family Fringillidae. The species was first described by Nicholas Aylward Vigors in 1831. It ranges across the northern regions of the Indian subcontinent, mainly in the Himalayas, and is migratory. It is found in Bhutan, Tibet, India, Nepal, and Pakistan. Its natural habitats are boreal forests and subtropical or tropical dry forests.",https://xeno-canto.org/472613/download
869,,,,,
870,,,,,
871,Plain flowerpecker,Dicaeum minullum,Dicaeidae,"The plain flowerpecker is a bird in the family Dicaeidae. The species was first described by Robert Swinhoe in 1870. It is found in the central Himalayas, through western Indonesia to Taiwan.",https://xeno-canto.org/426520/download
872,Plain leaf warbler,Phylloscopus neglectus,Family,The plain leaf warbler is a species of Old World warbler in the family Phylloscopidae.,https://xeno-canto.org/293558/download
873,Plain mountain finch,Leucosticte nemoricola,Fringillidae,The plain mountain finch is a species of finch in the family Fringillidae.,https://xeno-canto.org/426653/download
874,Plain prinia,Prinia inornata,Cisticolidae,"The plain prinia, also known as the plain wren-warbler or white-browed wren-warbler, is a small cisticolid warbler found in southeast Asia. It is a resident breeder from Pakistan and India to south China and southeast Asia. It was formerly included in the tawny-flanked prinia, resident in Africa south of the Sahara. The two are now usually considered to be separate species.",https://xeno-canto.org/383096/download
875,Plum-headed parakeet,Psittacula cyanocephala,Psittaculidae,"The plum-headed parakeet is a parakeet in the family Psittacidae. It is endemic to the Indian Subcontinent and was once thought to be conspecific with the blossom-headed parakeet but was later elevated to a full species. Plum-headed parakeets are found in flocks, the males having a pinkish purple head and the females, a grey head. They fly swiftly with twists and turns accompanied by their distinctive calls.",https://xeno-canto.org/485131/download
876,Plumbeous water redstart,Rhyacornis fuliginosus,Muscicapidae,"The plumbeous water redstart is a passerine bird in the Old World flycatcher family Muscicapidae. It is found in South Asia, Southeast Asia and China. Males are slate blue in colour, while females are grey. The bird's common name refers to its colour which resembles lead. They tend to live near fast-moving streams and rivers.",https://xeno-canto.org/442931/download
